time,q,dq,tau,qd
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,-6.400000000000000000e+01,0.000000000000000000e+00
2.000000000000000042e-03,7.994485720927176908e-01,-2.757139536411933878e-01,-5.954446250915832195e+01,0.000000000000000000e+00
4.000000000000000083e-03,7.983887335296993015e-01,-5.299192815091886555e-01,-5.539239017822892208e+01,0.000000000000000000e+00
6.000000000000000125e-03,7.968605360811075178e-01,-7.640987242959171866e-01,-5.152326329775392821e+01,0.000000000000000000e+00
8.000000000000000167e-03,7.949012668207348087e-01,-9.796346301863272377e-01,-4.791794726267754356e+01,0.000000000000000000e+00
1.000000000000000021e-02,7.925456353162022571e-01,-1.177815752266264671e+00,-4.455859878903594762e+01,0.000000000000000000e+00
1.200000000000000025e-02,7.898259481528983050e-01,-1.359843581651969613e+00,-4.142857854580034882e+01,0.000000000000000000e+00
1.400000000000000029e-02,7.867722716555242135e-01,-1.526838248687041988e+00,-3.851236975344926350e+01,0.000000000000000000e+00
1.600000000000000033e-02,7.834125836110836794e-01,-1.679844022220271960e+00,-3.579550233336234299e+01,0.000000000000000000e+00
1.800000000000000211e-02,7.797729147414411699e-01,-1.819834434821250291e+00,-3.326448222217528894e+01,0.000000000000000000e+00
2.000000000000000389e-02,7.758774806218481368e-01,-1.947717059796526762e+00,-3.090672549300342098e+01,0.000000000000000000e+00
2.200000000000000566e-02,7.717488046937990287e-01,-2.064337964024578476e+00,-2.871049695111067024e+01,0.000000000000000000e+00
2.400000000000000744e-02,7.674078329759564943e-01,-2.170485858921245903e+00,-2.666485289533658687e+01,0.000000000000000000e+00
2.600000000000000921e-02,7.628740410354210022e-01,-2.266895970267759797e+00,-2.475958775854952165e+01,0.000000000000000000e+00
2.800000000000001099e-02,7.581655337430789343e-01,-2.354253646171025949e+00,-2.298518436070990134e+01,0.000000000000000000e+00
3.000000000000001277e-02,7.532991383009363107e-01,-2.433197721071286956e+00,-2.133276752693431177e+01,0.000000000000000000e+00
3.200000000000001454e-02,7.482904909960219619e-01,-2.504323652457191685e+00,-1.979406084036669000e+01,0.000000000000000000e+00
3.400000000000001632e-02,7.431541181044520883e-01,-2.568186445784925720e+00,-1.836134631579735554e+01,0.000000000000000000e+00
3.600000000000001810e-02,7.379035113404135426e-01,-2.625303382019279042e+00,-1.702742679492462230e+01,0.000000000000000000e+00
3.800000000000001987e-02,7.325511982179858661e-01,-2.676156561213819174e+00,-1.578559087801776428e+01,0.000000000000000000e+00
4.000000000000002165e-02,7.271088076687484136e-01,-2.721195274618701365e+00,-1.462958021960064769e+01,0.000000000000000000e+00
4.200000000000002343e-02,7.215871312348632882e-01,-2.760838216942584911e+00,-1.355355902770770626e+01,0.000000000000000000e+00
4.400000000000002520e-02,7.159961801356741207e-01,-2.795475549594586884e+00,-1.255208561734053774e+01,0.000000000000000000e+00
4.600000000000002698e-02,7.103452384856970836e-01,-2.825470824988543850e+00,-1.162008587903906687e+01,0.000000000000000000e+00
4.800000000000002875e-02,7.046429129230954436e-01,-2.851162781300815130e+00,-1.075282853303459518e+01,0.000000000000000000e+00
5.000000000000003053e-02,6.988971788902343940e-01,-2.872867016430513232e+00,-9.945902048330538037e+00,0.000000000000000000e+00
5.200000000000003231e-02,6.931154237916068439e-01,-2.890877549313799033e+00,-9.195193114307762983e+00,0.000000000000000000e+00
5.400000000000003408e-02,6.873044872392299887e-01,-2.905468276188400978e+00,-8.496866560123983447e+00,0.000000000000000000e+00
5.600000000000003586e-02,6.814706985814544815e-01,-2.916894328887750909e+00,-7.847346624312343977e+00,0.000000000000000000e+00
5.800000000000003764e-02,6.756199118979279161e-01,-2.925393341763268040e+00,-7.243299483621946422e+00,0.000000000000000000e+00
6.000000000000003941e-02,6.697575386311563905e-01,-2.931186633385757467e+00,-6.681616956320389988e+00,0.000000000000000000e+00
6.200000000000004119e-02,6.638885780136358772e-01,-2.934480308760230916e+00,-6.159401300927179079e+00,0.000000000000000000e+00
6.400000000000004297e-02,6.580176454388348972e-01,-2.935466287400485985e+00,-5.673951036699016015e+00,0.000000000000000000e+00
6.600000000000004474e-02,6.521489989143379740e-01,-2.934323262248466957e+00,-5.222747717171564830e+00,0.000000000000000000e+00
6.800000000000004652e-02,6.462865637261642204e-01,-2.931217594086860778e+00,-4.803443592703366960e+00,0.000000000000000000e+00
7.000000000000004829e-02,6.404339554346045738e-01,-2.926304145779827781e+00,-4.413850102291121402e+00,0.000000000000000000e+00
7.200000000000005007e-02,6.345945013138353241e-01,-2.919727060384611050e+00,-4.051927138953047347e+00,0.000000000000000000e+00
7.400000000000005185e-02,6.287712603400262834e-01,-2.911620486904494154e+00,-3.715773036730197987e+00,0.000000000000000000e+00
7.600000000000005362e-02,6.229670418256266773e-01,-2.902109257199821268e+00,-3.403615230852992113e+00,0.000000000000000000e+00
7.800000000000005540e-02,6.171844227909522029e-01,-2.891309517337250057e+00,-3.113801545880178878e+00,0.000000000000000000e+00
8.000000000000005718e-02,6.114257641580783664e-01,-2.879329316436897379e+00,-2.844792069655909472e+00,0.000000000000000000e+00
8.200000000000005895e-02,6.056932258463354479e-01,-2.866269155871442820e+00,-2.595151573763750719e+00,0.000000000000000000e+00
8.400000000000006073e-02,5.999887808433763681e-01,-2.852222501479562577e+00,-2.363542443797108206e+00,0.000000000000000000e+00
8.600000000000006251e-02,5.943142283208218135e-01,-2.837276261277300815e+00,-2.148718085228928487e+00,0.000000000000000000e+00
8.800000000000006428e-02,5.886712058588532415e-01,-2.821511230984286911e+00,-1.949516772959668742e+00,0.000000000000000000e+00
9.000000000000006606e-02,5.830612008398007307e-01,-2.805002509526230092e+00,-1.764855914764375200e+00,0.000000000000000000e+00
9.200000000000006783e-02,5.774855610667405381e-01,-2.787819886530111368e+00,-1.593726700857459377e+00,0.000000000000000000e+00
9.400000000000006961e-02,5.719455046593540093e-01,-2.770028203693239988e+00,-1.435189113656477389e+00,0.000000000000000000e+00
9.600000000000007139e-02,5.664421292757916282e-01,-2.751687691781171452e+00,-1.288367273564588800e+00,0.000000000000000000e+00
9.800000000000007316e-02,5.609764207060080610e-01,-2.732854284891793828e+00,-1.152445098211941854e+00,0.000000000000000000e+00
1.000000000000000749e-01,5.555492608789818210e-01,-2.713579913513095132e+00,-1.026662254109020012e+00,0.000000000000000000e+00
1.020000000000000767e-01,5.501614353233824639e-01,-2.693912777799703395e+00,-9.103103810753410130e-01,0.000000000000000000e+00
1.040000000000000785e-01,5.448136401185870170e-01,-2.673897602397735440e+00,-8.027295711231943187e-01,0.000000000000000000e+00
1.060000000000000803e-01,5.395064883704703274e-01,-2.653575874058340389e+00,-7.033050847041835141e-01,0.000000000000000000e+00
1.080000000000000820e-01,5.342405162440759803e-01,-2.632986063197149562e+00,-6.114642883716854271e-01,0.000000000000000000e+00
1.100000000000000838e-01,5.290161885831174970e-01,-2.612163830479251381e+00,-5.266737989813776721e-01,0.000000000000000000e+00
1.120000000000000856e-01,5.238339041442436894e-01,-2.591142219436900263e+00,-4.484368205490909531e-01,0.000000000000000000e+00
1.140000000000000874e-01,5.186940004721244390e-01,-2.569951836059621186e+00,-3.762906608160179189e-01,0.000000000000000000e+00
1.160000000000000892e-01,5.135967584396577967e-01,-2.548621016233347802e+00,-3.098044154390606764e-01,0.000000000000000000e+00
1.180000000000000909e-01,5.085424064759649365e-01,-2.527175981846413233e+00,-2.485768085345867462e-01,0.000000000000000000e+00
1.200000000000000927e-01,5.035311245033141647e-01,-2.505640986325359254e+00,-1.922341790593833366e-01,0.000000000000000000e+00
1.220000000000000945e-01,4.985630476026895463e-01,-2.484038450312321178e+00,-1.404286032180266375e-01,0.000000000000000000e+00
1.240000000000000963e-01,4.936382694263935500e-01,-2.462389088147985738e+00,-9.283614374371040867e-02,0.000000000000000000e+00
1.260000000000000842e-01,4.887568453748344366e-01,-2.440712025779548711e+00,-4.915521751397733397e-02,0.000000000000000000e+00
1.280000000000000859e-01,4.839187955534914320e-01,-2.419024910671512707e+00,-9.105073535110363991e-03,0.000000000000000000e+00
1.300000000000000877e-01,4.791241075249746961e-01,-2.397344014258369516e+00,2.757562613593478318e-02,0.000000000000000000e+00
1.320000000000000895e-01,4.743727388700906822e-01,-2.375684327442006527e+00,6.113012946484985832e-02,0.000000000000000000e+00
1.340000000000000913e-01,4.696646195708849003e-01,-2.354059649602901594e+00,9.178482797562992346e-02,0.000000000000000000e+00
1.360000000000000930e-01,4.649996542277595735e-01,-2.332482671562655430e+00,1.197504067817192208e-01,0.000000000000000000e+00
1.380000000000000948e-01,4.603777241219475513e-01,-2.310965052906010175e+00,1.452229167403586985e-01,0.000000000000000000e+00
1.400000000000000966e-01,4.557986891338614011e-01,-2.289517494043066481e+00,1.683847739801507259e-01,0.000000000000000000e+00
1.420000000000000984e-01,4.512623895271277719e-01,-2.268149803366819039e+00,1.894056916988802186e-01,0.000000000000000000e+00
1.440000000000001001e-01,4.467686476074532731e-01,-2.246870959837248272e+00,2.084435487997069458e-01,0.000000000000000000e+00
1.460000000000001019e-01,4.423172692648514315e-01,-2.225689171300932134e+00,2.256451996267969662e-01,0.000000000000000000e+00
1.480000000000001037e-01,4.379080454071827000e-01,-2.204611928834352419e+00,2.411472287750200394e-01,0.000000000000000000e+00
1.500000000000001055e-01,4.335407532924233642e-01,-2.183646057379680094e+00,2.550766546810123714e-01,0.000000000000000000e+00
1.520000000000001072e-01,4.292151577665758722e-01,-2.162797762923736489e+00,2.675515854537167115e-01,0.000000000000000000e+00
1.540000000000001090e-01,4.249310124136679856e-01,-2.142072676453944169e+00,2.786818301696669664e-01,0.000000000000000000e+00
1.560000000000001108e-01,4.206880606238492804e-01,-2.121475894909342408e+00,2.885694686415334331e-01,0.000000000000000000e+00
1.580000000000001126e-01,4.164860365851891788e-01,-2.101012019330052549e+00,2.973093824657055961e-01,0.000000000000000000e+00
1.600000000000001144e-01,4.123246662043994482e-01,-2.080685190394873985e+00,3.049897499660261246e-01,0.000000000000000000e+00
1.620000000000001161e-01,4.082036679613516017e-01,-2.060499121523911903e+00,3.116925074744614221e-01,0.000000000000000000e+00
1.640000000000001179e-01,4.041227537019291827e-01,-2.040457129711215956e+00,3.174937792251171231e-01,0.000000000000000000e+00
1.660000000000001197e-01,4.000816293734466012e-01,-2.020562164241278769e+00,3.224642779847286533e-01,0.000000000000000000e+00
1.680000000000001215e-01,3.960799957065808674e-01,-2.000816833432878639e+00,3.266696783995897135e-01,0.000000000000000000e+00
1.700000000000001232e-01,3.921175488474927251e-01,-1.981223429544063608e+00,3.301709649056014939e-01,0.000000000000000000e+00
1.720000000000001250e-01,3.881939809435666078e-01,-1.961783951963048223e+00,3.330247559234429389e-01,0.000000000000000000e+00
1.740000000000001268e-01,3.843089806859638635e-01,-1.942500128801377235e+00,3.352836059449266770e-01,0.000000000000000000e+00
1.760000000000001286e-01,3.804622338119681424e-01,-1.923373436997852792e+00,3.369962870081941730e-01,0.000000000000000000e+00
1.780000000000001303e-01,3.766534235698993371e-01,-1.904405121034393744e+00,3.382080509583538230e-01,0.000000000000000000e+00
1.800000000000001321e-01,3.728822311491830077e-01,-1.885596210358167824e+00,3.389608737960436713e-01,0.000000000000000000e+00
1.820000000000001339e-01,3.691483360779870826e-01,-1.866947535597958563e+00,3.392936833283712872e-01,0.000000000000000000e+00
1.840000000000001357e-01,3.654514165906734835e-01,-1.848459743656786225e+00,3.392425712547009198e-01,0.000000000000000000e+00
1.860000000000001374e-01,3.617911499671589426e-01,-1.830133311757260239e+00,3.388409907434493107e-01,0.000000000000000000e+00
1.880000000000001392e-01,3.581672128461370064e-01,-1.811968560510964332e+00,3.381199404844679179e-01,0.000000000000000000e+00
1.900000000000001410e-01,3.545792815139802712e-01,-1.793965666078358279e+00,3.371081361353098771e-01,0.000000000000000000e+00
1.920000000000001428e-01,3.510270321710179386e-01,-1.776124671481179362e+00,3.358321700174329294e-01,0.000000000000000000e+00
1.940000000000001446e-01,3.475101411767676507e-01,-1.758445497125131762e+00,3.343166598606970297e-01,0.000000000000000000e+00
