iteration,error_norm,task_error_norm,dq_norm,position_error_norm,orientation_error_norm,site_x,site_y,site_z,damping,gain,dt
0,0.02999999999999997,0.02999999999999997,0.09222370657829583,0.02999999999999997,0.0,0.49199929841248197,0.1339978254660598,0.48800036731899227,0.001,1.0,0.2
1,0.024002063050961326,0.024002063050961326,0.07403518076897966,0.024002063050961326,0.005644744602417364,0.4979972580208246,0.1339960087763215,0.48796743649434743,0.001,1.0,0.2
2,0.019203286776357135,0.019203286776357135,0.059399785139137,0.019203286776357135,0.010291750612699225,0.502796069993352,0.13399524053287037,0.48795309559536776,0.001,1.0,0.2
3,0.015363843539886282,0.015363843539886282,0.04763372655312649,0.015363843539886282,0.014093339352515782,0.5066355402278206,0.13399504782106142,0.48794922979806193,0.001,1.0,0.2
4,0.012291940480563663,0.012291940480563663,0.03818200569506493,0.012291940480563663,0.017188383697011356,0.50970745748449,0.13399515574832452,0.4879509684195244,0.001,1.0,0.2
5,0.009834153932193154,0.009834153932193154,0.030594737196944156,0.009834153932193154,0.01969885476186176,0.5121652474357886,0.13399540606508775,0.48795543296280286,0.001,1.0,0.2
6,0.007867734041749647,0.007867734041749647,0.024507820043863343,0.007867734041749647,0.0217292848898609,0.5141316633328463,0.13399570948834005,0.48796096264881705,0.001,1.0,0.2
7,0.006294464657032417,0.006294464657032417,0.019627062619057948,0.006294464657032417,0.02336775239405288,0.5157049244019455,0.13399601744318976,0.48796663506192595,0.001,1.0,0.2
8,0.005035757595747775,0.005035757595747775,0.0157151281851013,0.005035757595747775,0.024687571102969527,0.5169636211154176,0.13399630519530467,0.48797196992933956,0.001,1.0,0.2
9,0.004028730017127525,0.004028730017127525,0.012580814495243483,0.004028730017127525,0.025749218156200404,0.5179706378379928,0.13399656175450936,0.4879767467877896,0.001,1.0,0.2
10,0.0032230664616846303,0.0032230664616846303,0.01007027348731223,0.0032230664616846303,0.026602244849155365,0.5187762909502219,0.13399678384056965,0.48798089349890156,0.001,1.0,0.2
11,0.0025785079940175374,0.0025785079940175374,0.008059842159312068,0.0025785079940175374,0.02728704130706305,0.5194208398824116,0.13399697229963017,0.48798441877589394,0.001,1.0,0.2
12,0.0020628429017426793,0.0020628429017426793,0.006450206971172356,0.0020628429017426793,0.02783639937658114,0.5199364965620346,0.13399713000231517,0.48798737195862046,0.001,1.0,0.2
13,0.001650298703651938,0.001650298703651938,0.005161667193229218,0.001650298703651938,0.028276859763991444,0.5203490335134066,0.1339972606364922,0.48798981956460824,0.001,1.0,0.2
14,0.0013202553220178462,0.0013202553220178462,0.004130299872143088,0.0013202553220178462,0.02862985177096575,0.5206790707594589,0.13399736803747916,0.4879918320821068,0.001,1.0,0.2
15,0.0010562153002071377,0.0010562153002071377,0.0033048614627838356,0.0010562153002071377,0.02891264481402916,0.5209431056524019,0.13399745583791323,0.4879934769401101,0.001,1.0,0.2
