run,source_log,lock_count,time_s,pos_err_mm,rot_err_deg,locked,motion_state,leg_state
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,,0.001,0.0,4.85314e-20,0,0,2
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,,0.501,0.0,1.0871e-17,0,0,2
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,1.001,0.0,7.76503e-19,1,0,2
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,1.501,2.93035,0.21606,1,0,2
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,2.001,2.2621,0.175109,1,0,2
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,2.501,1.43421,0.114766,1,0,2
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,3.001,1.39421,0.109523,1,1,0
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,3.501,34.7583,3.35957,1,1,1
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,4.001,23.2305,3.35241,1,1,0
D2 lock@1000,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d2_walk6d_inplace_wrist112_smoke70.log,1000,4.501,10.8336,1.78056,1,1,0
