sample_index,cycle,time_s,pos_err_mm,rot_err_deg,locked,angular_j_cols_count,model_nv
0.0,0.0,0.0,0.0,3.6184e-41,0.0,10.0,37.0
1.0,500.0,0.5,0.0,3.97569e-16,0.0,10.0,37.0
2.0,1000.0,1.0,0.0,1.99173e-16,0.0,10.0,37.0
3.0,1500.0,1.5,0.0,9.93923e-17,0.0,10.0,37.0
4.0,2000.0,2.0,0.0,5.96354e-16,0.0,10.0,37.0
5.0,2500.0,2.5,0.0,5.96354e-16,0.0,10.0,37.0
6.0,3000.0,3.0,0.0,4.96962e-16,0.0,10.0,37.0
7.0,3500.0,3.5,0.0,7.23587e-16,0.0,10.0,37.0
8.0,4000.0,4.0,0.0,0.0,1.0,10.0,37.0
9.0,4500.0,4.5,5.27352,1.23893,1.0,10.0,37.0
10.0,5000.0,5.0,1.12449,0.451461,1.0,10.0,37.0
11.0,5500.0,5.5,2.6612,1.0947,1.0,10.0,37.0
12.0,6000.0,6.0,1.82731,0.168566,1.0,10.0,37.0
