mode,t_s,err_mm,des_x_m,des_y_m,des_z_m,cur_x_m,cur_y_m,cur_z_m,offset_x_m,offset_y_m,offset_z_m,source_log
LINE,0.001,4.96598,0.0394593,-0.350861,0.937247,0.0348644,-0.351582,0.938987,0.0,0.0,0.0,20260703_t1_traj_LINE.log
LINE,0.501,1.77952,0.0416993,-0.350861,0.937247,0.0416951,-0.35106,0.939015,0.00224007,0.0,0.0,20260703_t1_traj_LINE.log
LINE,1.001,0.565715,0.0513259,-0.350861,0.937247,0.051181,-0.350641,0.937747,0.0118666,0.0,0.0,20260703_t1_traj_LINE.log
LINE,1.501,1.89313,0.0500492,-0.350861,0.937247,0.0483812,-0.350703,0.938128,0.0105899,0.0,0.0,20260703_t1_traj_LINE.log
LINE,2.001,1.79372,0.0394357,-0.350861,0.937247,0.0390381,-0.350711,0.938989,0.0,0.0,0.0,20260703_t1_traj_LINE.log
LINE,2.501,2.13576,0.028836,-0.350861,0.937247,0.0308541,-0.350473,0.937829,-0.0106232,0.0,0.0,20260703_t1_traj_LINE.log
LINE,3.001,0.75031,0.0244593,-0.350861,0.937247,0.0251577,-0.350625,0.937107,-0.015,0.0,0.0,20260703_t1_traj_LINE.log
LINE,3.501,2.00216,0.0288693,-0.350861,0.937247,0.0268885,-0.350982,0.937511,-0.0105899,0.0,0.0,20260703_t1_traj_LINE.log
LINE,4.001,2.2972,0.0394828,-0.350861,0.937247,0.0374141,-0.351013,0.938234,0.0,0.0,0.0,20260703_t1_traj_LINE.log
LINE,4.501,2.01202,0.0500825,-0.350861,0.937247,0.0484885,-0.350891,0.938474,0.0106232,0.0,0.0,20260703_t1_traj_LINE.log
LINE,5.001,2.17632,0.0544592,-0.350861,0.937247,0.0528237,-0.350884,0.938682,0.015,0.0,0.0,20260703_t1_traj_LINE.log
LINE,5.501,1.77867,0.0500492,-0.350861,0.937247,0.0493036,-0.350764,0.938858,0.0105899,0.0,0.0,20260703_t1_traj_LINE.log
LINE,6.001,1.36063,0.0394357,-0.350861,0.937247,0.0402015,-0.350457,0.938296,0.0,0.0,0.0,20260703_t1_traj_LINE.log
LINE,6.501,1.3208,0.028836,-0.350861,0.937247,0.0299912,-0.350372,0.93766,-0.0106232,0.0,0.0,20260703_t1_traj_LINE.log
LINE,7.001,0.390078,0.0244593,-0.350861,0.937247,0.0245512,-0.350611,0.937531,-0.015,0.0,0.0,20260703_t1_traj_LINE.log
LINE,7.501,1.22847,0.0288693,-0.350861,0.937247,0.0277318,-0.35085,0.93771,-0.0105899,0.0,0.0,20260703_t1_traj_LINE.log
CIRCLE,0.001,4.96598,0.0394593,-0.350861,0.937247,0.0348644,-0.351582,0.938987,0.0,0.0,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,0.501,1.88304,0.0416993,-0.351791,0.937247,0.0418361,-0.35143,0.93909,0.00224007,-0.000929931,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,1.001,3.98084,0.0513259,-0.362746,0.937247,0.0519389,-0.359224,0.938998,0.0118666,-0.0118853,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,1.501,5.98433,0.0500492,-0.376484,0.937247,0.0467255,-0.373204,0.940989,0.0105899,-0.0256232,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,2.001,8.00104,0.0394357,-0.380861,0.937247,0.0350067,-0.379337,0.943733,0.0,-0.03,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,2.501,4.65842,0.028836,-0.376451,0.937247,0.0267829,-0.377081,0.94138,-0.0106232,-0.0255899,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,3.001,3.34723,0.0244593,-0.365837,0.937247,0.0222717,-0.3674,0.93924,-0.015,-0.0149764,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,3.501,4.5953,0.0288693,-0.355238,0.937247,0.0252438,-0.356515,0.939765,-0.0105899,-0.00437675,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,4.001,4.54471,0.0394828,-0.350861,0.937247,0.0364202,-0.351388,0.940563,0.0,0.0,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,4.501,4.72377,0.0500825,-0.355271,0.937247,0.0477109,-0.353998,0.941129,0.0106232,-0.00441007,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,5.001,7.39335,0.0544592,-0.365884,0.937247,0.0516652,-0.362623,0.943265,0.015,-0.0150236,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,5.501,10.4939,0.0500492,-0.376484,0.937247,0.045461,-0.373379,0.946159,0.0105899,-0.0256232,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,6.001,10.6583,0.0394357,-0.380861,0.937247,0.034501,-0.378732,0.946451,0.0,-0.03,0.0,20260703_t1_traj_CIRCLE.log
CIRCLE,6.501,7.9308,0.028836,-0.376451,0.937247,0.0244204,-0.375126,0.9437,-0.0106232,-0.0255899,0.0,20260703_t1_traj_CIRCLE.log
